LocID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
246,Finland,2,Medium,2005,2005.5,0-4,0,5,145.631,139.052,284.683
246,Finland,2,Medium,2005,2005.5,5-9,5,5,151.466,145.287,296.753
246,Finland,2,Medium,2005,2005.5,10-14,10,5,168.323,162.102,330.425
246,Finland,2,Medium,2005,2005.5,15-19,15,5,163.573,156.374,319.947
246,Finland,2,Medium,2005,2005.5,20-24,20,5,170.907,163.273,334.18
246,Finland,2,Medium,2005,2005.5,25-29,25,5,169.621,161.889,331.51
246,Finland,2,Medium,2005,2005.5,30-34,30,5,157.735,150.373,308.108
246,Finland,2,Medium,2005,2005.5,35-39,35,5,179.655,173.307,352.962
246,Finland,2,Medium,2005,2005.5,40-44,40,5,192.497,186.593,379.09
246,Finland,2,Medium,2005,2005.5,45-49,45,5,192.688,189.025,381.713
246,Finland,2,Medium,2005,2005.5,50-54,50,5,198.649,197.509,396.158
246,Finland,2,Medium,2005,2005.5,55-59,55,5,206.914,207.909,414.823
246,Finland,2,Medium,2005,2005.5,60-64,60,5,139.272,146.46,285.732
246,Finland,2,Medium,2005,2005.5,65-69,65,5,113.898,129.966,243.864
246,Finland,2,Medium,2005,2005.5,70-74,70,5,91.515,115.83,207.345
246,Finland,2,Medium,2005,2005.5,75-79,75,5,70.722,109.657,180.379
246,Finland,2,Medium,2005,2005.5,80-84,80,5,39.849,85.008,124.857
246,Finland,2,Medium,2005,2005.5,85-89,85,5,15.211,43.557,58.768
246,Finland,2,Medium,2005,2005.5,90-94,90,5,5.035,17.969,23.004
246,Finland,2,Medium,2005,2005.5,95-99,95,5,0.788,3.51,4.298
246,Finland,2,Medium,2005,2005.5,100+,100,-1,0.057,0.277,0.334
